condition,env,reference,policy_path,seed,episodes,alpha,noise_type,jitter_sigma,dropout_p,dropout_mode,use_masked_reward,bias_magnitude,bias_axis,bias_target,reward_type,huber_delta,n_samples,pearson_r,pearson_p,spearman_r,spearman_p,mean_clean_reward,mean_noisy_reward,mean_clean_keypoint_mse,mean_noisy_keypoint_mse,mean_masked_noisy_keypoint_mse,mean_visibility_frac,result_dir
bias_feet_0.05,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/bias_feet_0.05_seed0/policy.zip,0,5,5.0,bias,0.0,0.0,hold,False,0.05,0,feet,squared,0.05,795,0.9948280762482968,0.0,0.9940350963505326,0.0,0.7384909339824269,0.6810281510967062,0.0063913736337392,0.0080079187676398,0.0080079187340148,1.0,results/bias_feet_0.05_seed0
clean,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/clean_seed2/policy.zip,2,5,5.0,clean,0.0,0.0,hold,False,0.0,0,none,squared,0.05,795,1.0,0.0,1.0,0.0,0.6533018349794294,0.6533018349794294,0.0144621091594935,0.0144621091594935,0.0144621092237782,1.0,results/clean_seed2
bias_feet_0.05,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/bias_feet_0.05_seed1/policy.zip,1,5,5.0,bias,0.0,0.0,hold,False,0.05,0,feet,squared,0.05,795,0.991263649248778,0.0,0.9377621676177094,0.0,0.9128230203442206,0.8738270155353071,0.002535028842533,0.0034263477508057,0.003426347745827,1.0,results/bias_feet_0.05_seed1
jitter_sigma_0.05,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/jitter_sigma_0.05_seed1/policy.zip,1,5,5.0,jitter,0.05,0.0,hold,False,0.0,0,none,squared,0.05,795,0.9669260982795126,0.0,0.9141950425097304,0.0,0.5770595325054712,0.4879415985301519,0.0186386211650891,0.0211533407349748,0.0211533407560614,1.0,results/jitter_sigma_0.05_seed1
dropout_masked_p_0.30,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/dropout_masked_p_0.30_seed2/policy.zip,2,5,5.0,dropout,0.0,0.3,mask,True,0.0,0,none,squared,0.05,795,0.8913775360723984,9.697766989557597e-275,0.8628989966705348,3.0387246560950776e-237,0.6669418559845568,0.8959592589916116,0.0137290304194692,0.0137290304194692,0.0138691658976057,0.6977538324751944,results/dropout_masked_p_0.30_seed2
jitter_sigma_0.05,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/jitter_sigma_0.05_seed0/policy.zip,0,5,5.0,jitter,0.05,0.0,hold,False,0.0,0,none,squared,0.05,795,0.9037503066240966,1.9019509311046252e-294,0.7202784990968816,4.3238361191691467e-128,0.8688350214926308,0.7341785983623783,0.0024114260733287,0.004888969149994,0.0048889691433312,1.0,results/jitter_sigma_0.05_seed0
dropout_hold_p_0.10,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/dropout_hold_p_0.10_seed0/policy.zip,0,5,5.0,dropout,0.0,0.1,hold,False,0.0,0,none,squared,0.05,795,0.9999972381023357,0.0,0.999871989575748,0.0,0.6449882121571522,0.6447454382849127,0.0177512034669515,0.0177700469454941,0.0175173687222378,0.8959568794043559,results/dropout_hold_p_0.10_seed0
jitter_sigma_0.10,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/jitter_sigma_0.10_seed2/policy.zip,2,5,5.0,jitter,0.1,0.0,hold,False,0.0,0,none,squared,0.05,795,0.8566170609875196,4.1575605423923175e-230,0.8027728108724794,3.035356160349726e-180,0.5610782139332462,0.2960828524437778,0.0245648369586259,0.0347114045316435,0.0347114043184351,1.0,results/jitter_sigma_0.10_seed2
dropout_hold_p_0.10,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/dropout_hold_p_0.10_seed1/policy.zip,1,5,5.0,dropout,0.0,0.1,hold,False,0.0,0,none,squared,0.05,795,0.999969719165964,0.0,0.9998168209041024,0.0,0.6652923054829559,0.6650998828834846,0.0118466529536977,0.0118743613830604,0.0120159893562031,0.8993710749929056,results/dropout_hold_p_0.10_seed1
bias_feet_0.10,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/bias_feet_0.10_seed2/policy.zip,2,5,5.0,bias,0.0,0.0,hold,False,0.1,0,feet,squared,0.05,795,0.985215979621368,0.0,0.9247860900433922,0.0,0.8197352016561212,0.7287514902508581,0.0048042261167268,0.0074036683264897,0.0074036683020351,1.0,results/bias_feet_0.10_seed2
dropout_hold_p_0.30,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/dropout_hold_p_0.30_seed1/policy.zip,1,5,5.0,dropout,0.0,0.3,hold,False,0.0,0,none,squared,0.05,795,0.9999837220855684,0.0,0.9997189741301918,0.0,0.6235083410704904,0.623501578968942,0.0208680480526268,0.0208817648778099,0.0202876098971228,0.6970350542908195,results/dropout_hold_p_0.30_seed1
dropout_zero_p_0.30,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/dropout_zero_p_0.30_seed2/policy.zip,2,5,5.0,dropout,0.0,0.3,zero,False,0.0,0,none,squared,0.05,795,0.301716563316288,3.4011350207104224e-18,0.3243345667074023,6.271302769716179e-21,0.6092060062936983,0.142553863966128,0.0226875002189084,0.1025912223344567,0.0229507050657051,0.6977538324751944,results/dropout_zero_p_0.30_seed2
dropout_hold_p_0.30,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/dropout_hold_p_0.30_seed0/policy.zip,0,5,5.0,dropout,0.0,0.3,hold,False,0.0,0,none,squared,0.05,795,0.9999797786540148,0.0,0.9993887741067392,0.0,0.7191115367010151,0.7186497491004181,0.0110840639777332,0.0111178458762238,0.0108127597000604,0.7017071121706153,results/dropout_hold_p_0.30_seed0
