condition,env,reference,policy_path,seed,episodes,alpha,noise_type,jitter_sigma,dropout_p,dropout_mode,use_masked_reward,bias_magnitude,bias_axis,bias_target,reward_type,huber_delta,n_samples,pearson_r,pearson_p,spearman_r,spearman_p,mean_clean_reward,mean_noisy_reward,mean_clean_keypoint_mse,mean_noisy_keypoint_mse,mean_masked_noisy_keypoint_mse,mean_visibility_frac,result_dir,clean_reward_std,noisy_reward_std,clean_reward_min,clean_reward_max,noisy_reward_min,noisy_reward_max,frac_noisy_reward_lt_0.05,frac_noisy_reward_lt_0.10,frac_noisy_reward_gt_0.90
jitter_sigma_0.10,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_jitter_sigma_0.10_seed0/policy.zip,0,5,5.0,jitter,0.1,0.0,hold,False,0.0,0,none,squared,0.05,5000,0.5861103780360453,0.0,0.4773487802312951,5.287021973473804e-283,0.7909655486658409,0.5514357726002945,0.0066729665980636,0.0166501156519283,0.0166501156801474,1.0,results/hopper_jitter_sigma_0.10_seed0,0.15697976513248738,0.17463489545433608,0.1171512651426561,0.999995875081974,0.014038452734922,0.962368675244092,0.0032,0.0098,0.0058
bias_feet_0.10,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_bias_feet_0.10_seed1/policy.zip,1,5,5.0,bias,0.0,0.0,hold,False,0.1,0,feet,squared,0.05,5000,0.687649952344415,0.0,0.679531778509271,0.0,0.8063533554814669,0.7540597623833997,0.0064009975494142,0.0083104358686177,0.0083104358721757,1.0,results/hopper_bias_feet_0.10_seed1,0.19464273016507438,0.18823640354249221,0.0984158580844296,0.9999908465632068,0.0357096875617463,0.997251582435348,0.0012,0.0092,0.2728
bias_feet_0.05,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/bias_feet_0.05_seed0/policy.zip,0,5,5.0,bias,0.0,0.0,hold,False,0.05,0,feet,squared,0.05,795,0.9948280762482968,0.0,0.9940350963505326,0.0,0.7384909339824269,0.6810281510967062,0.0063913736337392,0.0080079187676398,0.0080079187340148,1.0,results/bias_feet_0.05_seed0,0.24868279543938332,0.2531349032251084,0.0034621209542609,0.9996545562482744,0.002075176429538,0.984196048458276,0.03018867924528302,0.050314465408805034,0.1559748427672956
clean,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/clean_seed2/policy.zip,2,5,5.0,clean,0.0,0.0,hold,False,0.0,0,none,squared,0.05,795,1.0,0.0,1.0,0.0,0.6533018349794294,0.6533018349794294,0.0144621091594935,0.0144621091594935,0.0144621092237782,1.0,results/clean_seed2,0.34784894454942206,0.34784894454942206,1.1568507644243305e-06,0.998756541037759,1.1568507644243305e-06,0.998756541037759,0.11320754716981132,0.1459119496855346,0.37358490566037733
jitter_sigma_0.10,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_jitter_sigma_0.10_seed1/policy.zip,1,5,5.0,jitter,0.1,0.0,hold,False,0.0,0,none,squared,0.05,1116,0.7190163011312753,3.073565317309003e-178,0.6344874954582175,9.236365047672103e-127,0.7637385112111464,0.5349613602286171,0.0083102463702972,0.0182468658364269,0.0182468657951182,1.0,results/hopper_jitter_sigma_0.10_seed1,0.2216255536089941,0.20365267579296664,0.2063753665875658,0.9999974351662708,0.057577855516214,0.9447107311689203,0.0,0.01881720430107527,0.011648745519713262
bias_feet_0.05,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/bias_feet_0.05_seed1/policy.zip,1,5,5.0,bias,0.0,0.0,hold,False,0.05,0,feet,squared,0.05,795,0.991263649248778,0.0,0.9377621676177094,0.0,0.9128230203442206,0.8738270155353071,0.002535028842533,0.0034263477508057,0.003426347745827,1.0,results/bias_feet_0.05_seed1,0.1944049825539219,0.2023161814763661,0.0033527373784273,0.999817124833412,0.001919596276834,0.984107146468992,0.02012578616352201,0.027672955974842768,0.7320754716981132
bias_feet_0.10,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_bias_feet_0.10_seed0/policy.zip,0,5,5.0,bias,0.0,0.0,hold,False,0.1,0,feet,squared,0.05,2163,0.8378767573310761,0.0,0.662059491769381,5.418949233483229e-273,0.7247811707567478,0.664666826628048,0.0111568719598796,0.0140623714579153,0.0140623714610369,1.0,results/hopper_bias_feet_0.10_seed0,0.2538510050478094,0.26294561283425044,0.0195787436921223,0.9999925120672056,0.0294037055361112,0.9508303398351032,0.003236245954692557,0.05177993527508091,0.18539066111881647
clean,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_clean_seed1/policy.zip,1,5,5.0,clean,0.0,0.0,hold,False,0.0,0,none,squared,0.05,4290,0.9999999999999998,0.0,1.0,0.0,0.8115918325983703,0.8115918325983703,0.0067393564658562,0.0067393564658562,0.0067393564522384,1.0,results/hopper_clean_seed1,0.16691636883718478,0.16691636883718478,3.063311935352358e-05,0.9999965572097982,3.063311935352358e-05,0.9999965572097982,0.006993006993006993,0.008158508158508158,0.3564102564102564
jitter_sigma_0.05,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/jitter_sigma_0.05_seed1/policy.zip,1,5,5.0,jitter,0.05,0.0,hold,False,0.0,0,none,squared,0.05,795,0.9669260982795126,0.0,0.9141950425097304,0.0,0.5770595325054712,0.4879415985301519,0.0186386211650891,0.0211533407349748,0.0211533407560614,1.0,results/jitter_sigma_0.05_seed1,0.32036886601613196,0.27720382633649987,1.1448201466305816e-05,0.9997635756647028,8.990120652838821e-06,0.936467394238138,0.1509433962264151,0.17735849056603772,0.011320754716981131
dropout_masked_p_0.30,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/dropout_masked_p_0.30_seed2/policy.zip,2,5,5.0,dropout,0.0,0.3,mask,True,0.0,0,none,squared,0.05,795,0.8913775360723984,9.697766989557597e-275,0.8628989966705348,3.0387246560950776e-237,0.6669418559845568,0.8959592589916116,0.0137290304194692,0.0137290304194692,0.0138691658976057,0.6977538324751944,results/dropout_masked_p_0.30_seed2,0.3126897689929573,0.16929353326066662,1.7962202867103597e-05,0.9985321521415212,0.1478875482752547,0.999993327269388,0.0,0.0,0.7723270440251573
