condition,env,reference,policy_path,seed,episodes,alpha,noise_type,jitter_sigma,dropout_p,dropout_mode,use_masked_reward,bias_magnitude,bias_axis,bias_target,reward_type,huber_delta,n_samples,pearson_r,pearson_p,spearman_r,spearman_p,mean_clean_reward,mean_noisy_reward,mean_clean_keypoint_mse,mean_noisy_keypoint_mse,mean_masked_noisy_keypoint_mse,mean_visibility_frac,result_dir,clean_reward_std,noisy_reward_std,clean_reward_min,clean_reward_max,noisy_reward_min,noisy_reward_max,frac_noisy_reward_lt_0.05,frac_noisy_reward_lt_0.10,frac_noisy_reward_gt_0.90
jitter_sigma_0.10,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_jitter_sigma_0.10_seed0/policy.zip,0,5,5.0,jitter,0.1,0.0,hold,False,0.0,0,none,squared,0.05,5000,0.5861103780360453,0.0,0.4773487802312951,5.287021973473804e-283,0.7909655486658409,0.5514357726002945,0.0066729665980636,0.0166501156519283,0.0166501156801474,1.0,results/hopper_jitter_sigma_0.10_seed0,0.15697976513248738,0.17463489545433608,0.1171512651426561,0.999995875081974,0.014038452734922,0.962368675244092,0.0032,0.0098,0.0058
bias_feet_0.10,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_bias_feet_0.10_seed1/policy.zip,1,5,5.0,bias,0.0,0.0,hold,False,0.1,0,feet,squared,0.05,5000,0.687649952344415,0.0,0.679531778509271,0.0,0.8063533554814669,0.7540597623833997,0.0064009975494142,0.0083104358686177,0.0083104358721757,1.0,results/hopper_bias_feet_0.10_seed1,0.19464273016507438,0.18823640354249221,0.0984158580844296,0.9999908465632068,0.0357096875617463,0.997251582435348,0.0012,0.0092,0.2728
jitter_sigma_0.10,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_jitter_sigma_0.10_seed1/policy.zip,1,5,5.0,jitter,0.1,0.0,hold,False,0.0,0,none,squared,0.05,1116,0.7190163011312753,3.073565317309003e-178,0.6344874954582175,9.236365047672103e-127,0.7637385112111464,0.5349613602286171,0.0083102463702972,0.0182468658364269,0.0182468657951182,1.0,results/hopper_jitter_sigma_0.10_seed1,0.2216255536089941,0.20365267579296664,0.2063753665875658,0.9999974351662708,0.057577855516214,0.9447107311689203,0.0,0.01881720430107527,0.011648745519713262
bias_feet_0.10,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_bias_feet_0.10_seed0/policy.zip,0,5,5.0,bias,0.0,0.0,hold,False,0.1,0,feet,squared,0.05,2163,0.8378767573310761,0.0,0.662059491769381,5.418949233483229e-273,0.7247811707567478,0.664666826628048,0.0111568719598796,0.0140623714579153,0.0140623714610369,1.0,results/hopper_bias_feet_0.10_seed0,0.2538510050478094,0.26294561283425044,0.0195787436921223,0.9999925120672056,0.0294037055361112,0.9508303398351032,0.003236245954692557,0.05177993527508091,0.18539066111881647
clean,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_clean_seed1/policy.zip,1,5,5.0,clean,0.0,0.0,hold,False,0.0,0,none,squared,0.05,4290,0.9999999999999998,0.0,1.0,0.0,0.8115918325983703,0.8115918325983703,0.0067393564658562,0.0067393564658562,0.0067393564522384,1.0,results/hopper_clean_seed1,0.16691636883718478,0.16691636883718478,3.063311935352358e-05,0.9999965572097982,3.063311935352358e-05,0.9999965572097982,0.006993006993006993,0.008158508158508158,0.3564102564102564
clean,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_clean_seed0/policy.zip,0,5,5.0,clean,0.0,0.0,hold,False,0.0,0,none,squared,0.05,1289,1.0,0.0,1.0,0.0,0.6603972081513113,0.6603972081513113,0.0145131826903597,0.0145131826903597,0.0145131827155373,1.0,results/hopper_clean_seed0,0.2850364532993491,0.2850364532993491,0.0170103184552572,0.999993497318766,0.0170103184552572,0.999993497318766,0.013964313421256789,0.030256012412723042,0.2591155934833204
dropout_hold_p_0.10,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_dropout_hold_p_0.10_seed2/policy.zip,2,5,5.0,dropout,0.0,0.1,hold,False,0.0,0,none,squared,0.05,5000,0.9999970834960136,0.0,0.9999956103758244,0.0,0.7784205537449493,0.7783649240090779,0.0072623670846463,0.0072649222611984,0.0073314471837786,0.8976,results/hopper_dropout_hold_p_0.10_seed2,0.17933225303517628,0.1793625674499092,0.1218991361717505,0.9997884400447492,0.1218991361717505,0.9997884400447492,0.0,0.0,0.2578
dropout_masked_p_0.30,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_dropout_masked_p_0.30_seed2/policy.zip,2,5,5.0,dropout,0.0,0.3,mask,True,0.0,0,none,squared,0.05,5000,0.7939772725586913,0.0,0.6463441683338521,0.0,0.8015139020801184,0.9408757736015814,0.0065579737989847,0.0065579737989847,0.0065838405507803,0.69835,results/hopper_dropout_masked_p_0.30_seed2,0.17946656060835015,0.08261123558135076,0.1081043858950553,0.999823055126948,0.2060139745225432,1.0,0.0,0.0,0.8114
dropout_zero_p_0.30,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_dropout_zero_p_0.30_seed1/policy.zip,1,5,5.0,dropout,0.0,0.3,zero,False,0.0,0,none,squared,0.05,5000,0.1800107539817065,1.1073287659643124e-37,0.2151812920508952,1.8390295256894863e-53,0.8125680371564206,0.3710338178151499,0.0060041013701436,0.0918132525208079,0.0059208227121714,0.6966,results/hopper_dropout_zero_p_0.30_seed1,0.1654631334302794,0.3987316883420679,0.1353372757043158,0.9999910784265538,4.473245266478382e-06,0.99996568523998,0.5232,0.5232,0.1234
jitter_sigma_0.05,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_jitter_sigma_0.05_seed2/policy.zip,2,5,5.0,jitter,0.05,0.0,hold,False,0.0,0,none,squared,0.05,5000,0.8967698539279073,0.0,0.8285338130133524,0.0,0.8022249354760063,0.7315325429342516,0.0064469955400995,0.0088998569744173,0.0088998569699586,1.0,results/hopper_jitter_sigma_0.05_seed2,0.1723952574047954,0.17011191479948484,0.1106483621113813,0.999804334811482,0.0545505876096548,0.9875954958359816,0.0,0.0046,0.1158
